CustomerID,Recency,Frequency,Monetary,AverageOrderValue,Segment
12346,326,1,77183.6,77183.6,Loyal Customers
12347,2,7,4310.0,615.7142857142857,VIP Customers
12348,75,4,1437.24,359.31,Loyal Customers
12349,19,1,1457.55,1457.55,Potential Customers
12350,310,1,294.4,294.4,At-Risk Customers
12352,36,7,1385.74,197.96285714285713,Loyal Customers
12353,204,1,89.0,89.0,At-Risk Customers
12354,232,1,1079.4,1079.4,At-Risk Customers
12355,214,1,459.4,459.4,At-Risk Customers
12356,23,3,2487.43,829.1433333333333,Loyal Customers
12357,33,1,6207.67,6207.67,Loyal Customers
12358,2,2,928.0600000000001,464.03000000000003,Potential Customers
12359,58,4,6310.03,1577.5075,Loyal Customers
12360,52,3,2302.06,767.3533333333334,Loyal Customers
12361,287,1,174.9,174.9,At-Risk Customers
12362,3,10,4737.23,473.72299999999996,VIP Customers
12363,110,2,552.0,276.0,At-Risk Customers
12364,8,4,1208.1,302.025,Potential Customers
12365,291,1,320.69,320.69,At-Risk Customers
12367,4,1,150.9,150.9,Potential Customers
12370,51,4,3421.94,855.485,Loyal Customers
12371,60,1,1527.96,1527.96,Loyal Customers
12372,72,3,1196.04,398.68,Loyal Customers
12373,311,1,324.6,324.6,At-Risk Customers
12374,25,1,622.93,622.93,Potential Customers
12375,11,2,377.5,188.75,Potential Customers
12377,315,2,1548.12,774.06,Loyal Customers
12378,130,1,4008.62,4008.62,Loyal Customers
12379,82,2,777.24,388.62,Loyal Customers
12380,22,4,2427.81,606.9525,Loyal Customers
12381,5,3,1474.81,491.6033333333333,Potential Customers
12383,185,5,1628.56,325.712,Loyal Customers
12384,29,2,425.27000000000004,212.63500000000002,Potential Customers
12386,338,2,401.9,200.95,At-Risk Customers
12388,16,6,2780.66,463.4433333333333,VIP Customers
12390,80,1,504.84000000000003,504.84000000000003,At-Risk Customers
12391,22,1,439.66,439.66,Potential Customers
12393,72,4,1582.6000000000001,395.65000000000003,Loyal Customers
12394,64,2,1080.48,540.24,Loyal Customers
12395,19,12,2682.63,223.5525,VIP Customers
12397,36,2,2214.9,1107.45,Loyal Customers
12398,46,1,1435.66,1435.66,Loyal Customers
12399,119,4,1033.65,258.4125,Loyal Customers
12401,303,1,69.3,69.3,At-Risk Customers
12402,323,1,195.6,195.6,At-Risk Customers
12403,50,1,391.7,391.7,At-Risk Customers
12405,149,1,1390.39,1390.39,At-Risk Customers
12406,22,2,3415.3,1707.65,Loyal Customers
12407,50,5,1507.1200000000001,301.42400000000004,Loyal Customers
12408,33,5,2618.55,523.71,Loyal Customers
12409,79,3,11072.67,3690.89,Loyal Customers
12410,309,2,533.33,266.665,At-Risk Customers
12412,75,3,1142.88,380.96000000000004,Loyal Customers
12413,67,3,686.1,228.70000000000002,Loyal Customers
12414,217,3,442.41,147.47,At-Risk Customers
12415,24,20,124564.53,6228.2265,VIP Customers
12417,3,9,3226.1,358.4555555555555,VIP Customers
12418,113,1,668.58,668.58,At-Risk Customers
12420,64,1,600.39,600.39,At-Risk Customers
